mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__degree,param_svm__gamma,param_svm__kernel,param_svm__r,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.45735893249511717,0.013994496369571025,0.0010924339294433594,0.00042185991163185146,0.1,2,0.01,linear,0.1,"{'svm__C': np.float64(0.1), 'svm__degree': 2, 'svm__gamma': np.float64(0.01), 'svm__kernel': 'linear', 'svm__r': 0.1}",0.3902439024390244,0.3902439024390244,0.43902439024390244,0.43209876543209874,0.5061728395061729,0.43155676001204457,0.042513816558682416,33
0.4543999195098877,0.0262374062973127,0.0013610363006591798,0.00042591578638428556,0.1,2,0.01,linear,1.0,"{'svm__C': np.float64(0.1), 'svm__degree': 2, 'svm__gamma': np.float64(0.01), 'svm__kernel': 'linear', 'svm__r': 1}",0.3902439024390244,0.3902439024390244,0.43902439024390244,0.43209876543209874,0.5061728395061729,0.43155676001204457,0.042513816558682416,33
0.5181028842926025,0.013014506155828812,0.0023177623748779296,0.0007872485969513972,0.1,2,0.01,rbf,0.1,"{'svm__C': np.float64(0.1), 'svm__degree': 2, 'svm__gamma': np.float64(0.01), 'svm__kernel': 'rbf', 'svm__r': 0.1}",0.35365853658536583,0.2926829268292683,0.35365853658536583,0.38271604938271603,0.37037037037037035,0.35061728395061725,0.030969027545636182,220
0.5085115909576416,0.005036326056888124,0.0017029285430908204,0.0006848759100871653,0.1,2,0.01,rbf,1.0,"{'svm__C': np.float64(0.1), 'svm__degree': 2, 'svm__gamma': np.float64(0.01), 'svm__kernel': 'rbf', 'svm__r': 1}",0.35365853658536583,0.2926829268292683,0.35365853658536583,0.38271604938271603,0.37037037037037035,0.35061728395061725,0.030969027545636182,220
0.44521241188049315,0.013745403341901585,0.0009697914123535156,0.00044780258626610973,0.1,2,0.01,poly,0.1,"{'svm__C': np.float64(0.1), 'svm__degree': 2, 'svm__gamma': np.float64(0.01), 'svm__kernel': 'poly', 'svm__r': 0.1}",0.25609756097560976,0.25609756097560976,0.25609756097560976,0.24691358024691357,0.25925925925925924,0.2548931044866004,0.004173446079496214,299
0.46485557556152346,0.011019202526406367,0.0013885974884033203,0.0005302519334397486,0.1,2,0.01,poly,1.0,"{'svm__C': np.float64(0.1), 'svm__degree': 2, 'svm__gamma': np.float64(0.01), 'svm__kernel': 'poly', 'svm__r': 1}",0.3780487804878049,0.3048780487804878,0.4024390243902439,0.37037037037037035,0.43209876543209874,0.3775669978922011,0.04225645100636688,189
0.46094536781311035,0.03179633332163543,0.0009015560150146485,0.00030085370049283075,0.1,2,0.2575,linear,0.1,"{'svm__C': np.float64(0.1), 'svm__degree': 2, 'svm__gamma': np.float64(0.2575), 'svm__kernel': 'linear', 'svm__r': 0.1}",0.3902439024390244,0.3902439024390244,0.43902439024390244,0.43209876543209874,0.5061728395061729,0.43155676001204457,0.042513816558682416,33
0.4768120288848877,0.025826025688608003,0.0010071754455566405,0.0004057097050469523,0.1,2,0.2575,linear,1.0,"{'svm__C': np.float64(0.1), 'svm__degree': 2, 'svm__gamma': np.float64(0.2575), 'svm__kernel': 'linear', 'svm__r': 1}",0.3902439024390244,0.3902439024390244,0.43902439024390244,0.43209876543209874,0.5061728395061729,0.43155676001204457,0.042513816558682416,33
0.1438216209411621,0.011110835161613278,0.0019795894622802734,0.0009808516003954502,0.1,2,0.2575,rbf,0.1,"{'svm__C': np.float64(0.1), 'svm__degree': 2, 'svm__gamma': np.float64(0.2575), 'svm__kernel': 'rbf', 'svm__r': 0.1}",0.35365853658536583,0.2926829268292683,0.3170731707317073,0.32098765432098764,0.37037037037037035,0.33095453176753986,0.02766162230356384,235
0.13149237632751465,0.010017069957852818,0.002546548843383789,0.0007186065703032941,0.1,2,0.2575,rbf,1.0,"{'svm__C': np.float64(0.1), 'svm__degree': 2, 'svm__gamma': np.float64(0.2575), 'svm__kernel': 'rbf', 'svm__r': 1}",0.35365853658536583,0.2926829268292683,0.3170731707317073,0.32098765432098764,0.37037037037037035,0.33095453176753986,0.02766162230356384,235
0.28290553092956544,0.01451965263467992,0.0012786865234375,0.000585020341377143,0.1,2,0.2575,poly,0.1,"{'svm__C': np.float64(0.1), 'svm__degree': 2, 'svm__gamma': np.float64(0.2575), 'svm__kernel': 'poly', 'svm__r': 0.1}",0.4146341463414634,0.34146341463414637,0.3902439024390244,0.35802469135802467,0.4567901234567901,0.39223125564588984,0.0410393694363972,179
0.28189773559570314,0.014961402354739056,0.0013710498809814454,0.0005310604941553791,0.1,2,0.2575,poly,1.0,"{'svm__C': np.float64(0.1), 'svm__degree': 2, 'svm__gamma': np.float64(0.2575), 'svm__kernel': 'poly', 'svm__r': 1}",0.4024390243902439,0.36585365853658536,0.4634146341463415,0.38271604938271603,0.4567901234567901,0.4142426979825354,0.03925026914887652,74
0.47269377708435056,0.023944062534383706,0.0009130954742431641,0.0004115929636918188,0.1,2,0.505,linear,0.1,"{'svm__C': np.float64(0.1), 'svm__degree': 2, 'svm__gamma': np.float64(0.505), 'svm__kernel': 'linear', 'svm__r': 0.1}",0.3902439024390244,0.3902439024390244,0.43902439024390244,0.43209876543209874,0.5061728395061729,0.43155676001204457,0.042513816558682416,33
