mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_log_reg__C,param_log_reg__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.03930978775024414,0.01155984915048546,0.004301118850708008,0.0016785930550836804,0.0001,liblinear,"{'log_reg__C': np.float64(0.0001), 'log_reg__solver': 'liblinear'}",0.3420074349442379,0.42379182156133827,0.40148698884758366,0.3680297397769517,0.2873134328358209,0.3645258835931865,0.04766486084012392,2
0.018727588653564452,0.005589232828770312,0.004914140701293946,0.0027989831388532706,0.0001,lbfgs,"{'log_reg__C': np.float64(0.0001), 'log_reg__solver': 'lbfgs'}",0.24535315985130113,0.3048327137546468,0.2899628252788104,0.3048327137546468,0.2574626865671642,0.2804888198413139,0.024656538837596883,20
0.06931686401367188,0.022719669893670386,0.0014913558959960937,0.0005636547896931044,0.000774263682681127,liblinear,"{'log_reg__C': np.float64(0.000774263682681127), 'log_reg__solver': 'liblinear'}",0.3308550185873606,0.4200743494423792,0.3828996282527881,0.379182156133829,0.291044776119403,0.360811185707152,0.04494938993955866,4
0.01101059913635254,0.00451982772341827,0.0013188838958740235,0.0004220122104137996,0.000774263682681127,lbfgs,"{'log_reg__C': np.float64(0.000774263682681127), 'log_reg__solver': 'lbfgs'}",0.34572490706319703,0.41263940520446096,0.3828996282527881,0.3903345724907063,0.30970149253731344,0.36826000110969315,0.03635399918098936,1
0.10550284385681152,0.020360962945341968,0.00230259895324707,0.000752761232737427,0.005994842503189409,liblinear,"{'log_reg__C': np.float64(0.005994842503189409), 'log_reg__solver': 'liblinear'}",0.3382899628252788,0.4052044609665427,0.3828996282527881,0.3828996282527881,0.29850746268656714,0.361560228596793,0.03829547109648326,3
0.015941143035888672,0.010257127784102016,0.001545858383178711,0.0006708050912385593,0.005994842503189409,lbfgs,"{'log_reg__C': np.float64(0.005994842503189409), 'log_reg__solver': 'lbfgs'}",0.34572490706319703,0.4052044609665427,0.3680297397769517,0.3903345724907063,0.2835820895522388,0.3585751539699273,0.042570954146846425,5
0.17433085441589355,0.014715958079632423,0.0013897418975830078,0.0004625819611896032,0.046415888336127774,liblinear,"{'log_reg__C': np.float64(0.046415888336127774), 'log_reg__solver': 'liblinear'}",0.34944237918215615,0.379182156133829,0.37174721189591076,0.35687732342007433,0.2873134328358209,0.3489125006935582,0.032544862603450006,7
0.016478204727172853,0.004454343234734101,0.001828622817993164,0.000541834542506818,0.046415888336127774,lbfgs,"{'log_reg__C': np.float64(0.046415888336127774), 'log_reg__solver': 'lbfgs'}",0.3420074349442379,0.3940520446096654,0.35687732342007433,0.37174721189591076,0.2835820895522388,0.34965322088442546,0.03724363054967741,6
0.28673434257507324,0.014792515647874418,0.0014615535736083984,0.000441229390920235,0.3593813663804626,liblinear,"{'log_reg__C': np.float64(0.3593813663804626), 'log_reg__solver': 'liblinear'}",0.3308550185873606,0.3680297397769517,0.34944237918215615,0.35315985130111527,0.2873134328358209,0.3377600843366809,0.02786548207564288,9
0.024248123168945312,0.004490762321536078,0.0021382808685302735,0.0019517610826555011,0.3593813663804626,lbfgs,"{'log_reg__C': np.float64(0.3593813663804626), 'log_reg__solver': 'lbfgs'}",0.31970260223048325,0.3680297397769517,0.35687732342007433,0.3271375464684015,0.26492537313432835,0.3273345170060478,0.03600573489466727,10
0.49446830749511717,0.040262513658422636,0.002200460433959961,0.0007069385082593866,2.782559402207126,liblinear,"{'log_reg__C': np.float64(2.782559402207126), 'log_reg__solver': 'liblinear'}",0.3308550185873606,0.3828996282527881,0.37174721189591076,0.3382899628252788,0.2835820895522388,0.3414747822227154,0.034948316657135686,8
0.03427920341491699,0.009422374247505591,0.0012811183929443359,0.0006133358536336663,2.782559402207126,lbfgs,"{'log_reg__C': np.float64(2.782559402207126), 'log_reg__solver': 'lbfgs'}",0.30111524163568776,0.30855018587360594,0.3345724907063197,0.3159851301115242,0.26492537313432835,0.30502968429229316,0.022929770038382393,15
0.8121989727020263,0.03157969284137877,0.0014127254486083984,0.00024302480004016354,21.54434690031882,liblinear,"{'log_reg__C': np.float64(21.54434690031882), 'log_reg__solver': 'liblinear'}",0.2936802973977695,0.35687732342007433,0.3828996282527881,0.32342007434944237,0.26865671641791045,0.325106807967597,0.04129517938329989,11
0.056228351593017575,0.006928012652013866,0.0016299247741699218,0.0005719484630195242,21.54434690031882,lbfgs,"{'log_reg__C': np.float64(21.54434690031882), 'log_reg__solver': 'lbfgs'}",0.30855018587360594,0.30855018587360594,0.3382899628252788,0.30111524163568776,0.2537313432835821,0.3020473838983521,0.027325468209050657,17
1.60939302444458,0.425515885230947,0.002115011215209961,0.000707047716224264,166.81005372000558,liblinear,"{'log_reg__C': np.float64(166.81005372000558), 'log_reg__solver': 'liblinear'}",0.2936802973977695,0.3382899628252788,0.3643122676579926,0.3159851301115242,0.26865671641791045,0.3161848748820951,0.033377545149694356,12
0.06674437522888184,0.01450934779417796,0.001846647262573242,0.0007173588129299423,166.81005372000558,lbfgs,"{'log_reg__C': np.float64(166.81005372000558), 'log_reg__solver': 'lbfgs'}",0.3048327137546468,0.3048327137546468,0.3420074349442379,0.3048327137546468,0.2574626865671642,0.3027936525550685,0.02685178027017407,16
2.3151281833648683,0.8215557827628999,0.002116107940673828,0.00110639169157181,1291.5496650148827,liblinear,"{'log_reg__C': np.float64(1291.5496650148827), 'log_reg__solver': 'liblinear'}",0.29739776951672864,0.3382899628252788,0.37174721189591076,0.3159851301115242,0.25,0.31468401486988845,0.04073813494177868,13
