mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10974063873291015,0.015038392185444158,0.0028186798095703124,0.0009228783229024059,,1,2,50,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",0.7710843373493976,0.8192771084337349,0.8072289156626506,0.7926829268292683,0.7560975609756098,0.7892741698501322,0.023089938188761854,72
0.1935342311859131,0.005823218498970537,0.0055066108703613285,0.001262215740833379,,1,2,100,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.7831325301204819,0.8313253012048193,0.7951807228915663,0.7926829268292683,0.7682926829268293,0.7941228327945931,0.020857610177198362,57
0.3872497081756592,0.0057933178304557555,0.00862431526184082,0.0025195497885935024,,1,2,200,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.7951807228915663,0.8795180722891566,0.7951807228915663,0.7926829268292683,0.7926829268292683,0.8110490743461651,0.03425271838647419,12
0.09732685089111329,0.0029290436626137556,0.003114748001098633,0.0009631932771570936,,1,5,50,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 50}",0.7831325301204819,0.8795180722891566,0.8072289156626506,0.7926829268292683,0.7682926829268293,0.8061710255656773,0.038803036776728965,26
0.20006351470947265,0.02490680367831319,0.004963016510009766,0.0011357617860479276,,1,5,100,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.7590361445783133,0.8554216867469879,0.7710843373493976,0.7804878048780488,0.7926829268292683,0.7917425800764033,0.033701800422836235,63
0.3714621067047119,0.007573050187339079,0.008795452117919923,0.0013235751225100455,,1,5,200,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.7951807228915663,0.8433734939759037,0.7951807228915663,0.7926829268292683,0.7926829268292683,0.8038201586835146,0.019808189726014953,31
0.0917555809020996,0.004397197160423286,0.003200244903564453,0.0007375885478393513,,1,10,50,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 50}",0.7349397590361446,0.891566265060241,0.7590361445783133,0.7926829268292683,0.7195121951219512,0.7795474581251837,0.06121363777873882,96
0.17976388931274415,0.007017315027318468,0.0043944835662841795,0.0015665337137804253,,1,10,100,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",0.7469879518072289,0.8433734939759037,0.8072289156626506,0.7439024390243902,0.7926829268292683,0.7868351454598883,0.03762367176875421,79
0.37878952026367185,0.025913386844978195,0.006865310668945313,0.0016757538555803432,,1,10,200,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 200}",0.7831325301204819,0.891566265060241,0.8192771084337349,0.7926829268292683,0.8048780487804879,0.8183073758448428,0.03857987613990931,4
0.08618693351745606,0.0011605935634046753,0.0031145095825195314,0.0007047222708896778,,2,2,50,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",0.7831325301204819,0.7951807228915663,0.7710843373493976,0.7926829268292683,0.7560975609756098,0.7796356156332648,0.014500175705164813,90
0.1786789894104004,0.008443277819088105,0.0060841083526611325,0.00034415417902085863,,2,2,100,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.7710843373493976,0.8795180722891566,0.8313253012048193,0.8048780487804879,0.7926829268292683,0.8158977372906261,0.03729385613626323,6
0.3638554573059082,0.007027941894835791,0.006413125991821289,0.0012648064373283468,,2,2,200,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.8072289156626506,0.891566265060241,0.7831325301204819,0.8048780487804879,0.8048780487804879,0.8183367616808697,0.037649850554765885,3
0.09177203178405761,0.004372470861700931,0.0030259609222412108,0.0009882788186450675,,2,5,50,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 50}",0.7349397590361446,0.8554216867469879,0.7228915662650602,0.7804878048780488,0.7804878048780488,0.7748457243608581,0.046578691418966096,104
0.18277034759521485,0.005750490410000114,0.0056722164154052734,0.0014721046537013477,,2,5,100,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.7710843373493976,0.8192771084337349,0.8192771084337349,0.7682926829268293,0.7682926829268293,0.7892447840141052,0.02454246900006729,74
0.3578376293182373,0.014147495195968689,0.006775426864624024,0.0018161200536567247,,2,5,200,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.7831325301204819,0.8554216867469879,0.8192771084337349,0.7682926829268293,0.7926829268292683,0.8037613870114605,0.0307110246201529,33
